"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2295328","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2318997","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2290918","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2285859","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2236420","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2242888","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2228297","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2208917","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2219956","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2418886","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2253180","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","779880","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","732236","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","761611","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","800436","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","758620","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","755127","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","753298","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","785262","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","748673","","","","0"
